location_id,source_type,status,failure_reason,address_type,name,display_name,latitude,longitude,house_number,road,neighbourhood,suburb,county,city,state,ISO3166-2-lvl4,postcode,country,country_code
723,restaurant,success,,yes,,"1085, 2nd Avenue, Sutton, Manhattan Community Board 6, Manhattan, New York County, City of New York, New York, 10022, United States",40.759604800000005,-73.96540373554933,1085,2nd Avenue,Sutton,Manhattan,New York County,City of New York,New York,US-NY,10022,United States,us
724,restaurant,success,,apartments,,"347, Bowery, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10003, United States",40.726431700000006,-73.99138167677327,347,Bowery,Manhattan Community Board 3,Manhattan,New York County,City of New York,New York,US-NY,10003,United States,us
725,restaurant,success,,yes,,"3513, East Tremont Avenue, Schuylerville, The Bronx, Bronx County, City of New York, New York, 10465, United States",40.83099095,-73.82608376475599,3513,East Tremont Avenue,Schuylerville,The Bronx,Bronx County,City of New York,New York,US-NY,10465,United States,us
726,restaurant,success,,platform,Flatbush Avenue-Brooklyn College,"Flatbush Avenue-Brooklyn College, Flatbush Avenue, Brooklyn, Kings County, City of New York, New York, 11234, United States",40.63288635,-73.94772611744253,,Flatbush Avenue,,Brooklyn,Kings County,City of New York,New York,US-NY,11234,United States,us
727,restaurant,success,,yes,,"74-12, Jamaica Avenue, Queens, Queens County, City of New York, New York, 11421, United States",40.691075350000006,-73.86736136130952,74-12,Jamaica Avenue,,Queens,Queens County,City of New York,New York,US-NY,11421,United States,us
728,restaurant,success,,house,,"72, 7th Avenue, Manhattan Community Board 4, Manhattan, New York County, City of New York, New York, 10011, United States",40.7391655,-73.9994608,72,7th Avenue,Manhattan Community Board 4,Manhattan,New York County,City of New York,New York,US-NY,10011,United States,us
729,restaurant,success,,yes,,"1909, Coney Island Avenue, Brooklyn, Kings County, City of New York, New York, 11230, United States",40.6108591,-73.96224925,1909,Coney Island Avenue,,Brooklyn,Kings County,City of New York,New York,US-NY,11230,United States,us
730,restaurant,success,,house,,"7, East 17th Street, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10003, United States",40.7376943,-73.9914376,7,East 17th Street,Manhattan Community Board 5,Manhattan,New York County,City of New York,New York,US-NY,10003,United States,us
731,restaurant,success,,yes,,"21, Pell Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10013, United States",40.7147554,-73.99822383897575,21,Pell Street,Manhattan Community Board 3,Manhattan,New York County,City of New York,New York,US-NY,10013,United States,us
732,restaurant,success,,yes,,"21, Pell Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10013, United States",40.7147554,-73.99822383897575,21,Pell Street,Manhattan Community Board 3,Manhattan,New York County,City of New York,New York,US-NY,10013,United States,us
733,restaurant,success,,yes,,"21, West 17th Street, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10011, United States",40.7386131,-73.99335294796849,21,West 17th Street,Manhattan Community Board 5,Manhattan,New York County,City of New York,New York,US-NY,10011,United States,us
734,restaurant,success,,house,,"303, Wythe Avenue, Brooklyn, Kings County, City of New York, New York, 11249, United States",40.7144662,-73.9649289,303,Wythe Avenue,,Brooklyn,Kings County,City of New York,New York,US-NY,11249,United States,us
735,restaurant,success,,yes,,"929, Amsterdam Avenue, Manhattan Community Board 7, Manhattan, New York County, City of New York, New York, 10025, United States",40.799977,-73.96564290615997,929,Amsterdam Avenue,Manhattan Community Board 7,Manhattan,New York County,City of New York,New York,US-NY,10025,United States,us
736,restaurant,success,,outdoor_seating,,"37th Avenue, Flushing Chinatown, Queens, Queens County, City of New York, New York, 11354, United States",40.760701049999994,-73.83333430000002,,37th Avenue,Flushing Chinatown,Queens,Queens County,City of New York,New York,US-NY,11354,United States,us
737,restaurant,success,,station,Spring Street,"Spring Street, 6th Avenue, University Village, Manhattan, New York County, City of New York, New York, 10019, United States",40.7255399,-74.0040137,,6th Avenue,University Village,Manhattan,New York County,City of New York,New York,US-NY,10019,United States,us
738,restaurant,success,,yes,,"6, Bond Street, University Village, Manhattan, New York County, City of New York, New York, 10012, United States",40.726966399999995,-73.99438665,6,Bond Street,University Village,Manhattan,New York County,City of New York,New York,US-NY,10012,United States,us
739,restaurant,success,,yes,,"6, Bond Street, University Village, Manhattan, New York County, City of New York, New York, 10012, United States",40.726966399999995,-73.99438665,6,Bond Street,University Village,Manhattan,New York County,City of New York,New York,US-NY,10012,United States,us
